Internal Name, Readable Name,String
npc_dota_hero_antimage,Anti-Mage,尽管<hc>敌法师</hc>到了后期时一般会变成怪物，但是前期压制住他可以延缓他的发力。
npc_dota_hero_antimage,Anti-Mage,<hc>敌法师</hc>在面对魔法输出为主的阵容时非常厉害，因为他自身所受的魔法伤害较低，而攻击时还能燃烧魔法。
npc_dota_hero_antimage,Anti-Mage,由于机动性很高，<hc>敌法师</hc>可以在兵线中快速穿梭，打钱效率很高。
npc_dota_hero_antimage,Anti-Mage,<hc>敌法师</hc>很惧怕物理伤害和纯粹伤害，还有眩晕、沉默和缠绕类控制技能。
npc_dota_hero_axe,Axe,成功使用<ac>淘汰之刃</ac>对<hc>斧王</hc>非常重要，因为能秒杀敌人并且队友都将获得速度加成。
npc_dota_hero_axe,Axe,<hc>斧王</hc>的先手能力非常突出，因为他的<ac>狂战士之吼</ac>可以强迫敌人攻击他。
npc_dota_hero_axe,Axe,<hc>斧王</hc>非常依赖<ic>闪烁匕首</ic>，方便自己施放技能时，也能更好地压制对面。
npc_dota_hero_axe,Axe,<hc>斧王</hc>与近战英雄对线时优势很大，因为<ac>反击螺旋</ac>可以轻松地对他们造成伤害。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>善于长时间控制英雄。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>的魔爪持续时间较长，但眩晕或沉默就能轻松打断。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>的击杀难度较高，因为<ac>蚀脑</ac>造成伤害的同时还能回复等额生命。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>只拥有单体类技能，所以他在清兵和消灭召唤物时非常吃力。
npc_dota_hero_bloodseeker,Bloodseeker,像<ic>黑皇杖</ic>这样的物品可以帮助<hc>嗜血狂魔</hc>追击残血目标时不受控制技能影响。
npc_dota_hero_bloodseeker,Bloodseeker,<hc>嗜血狂魔</hc>无法阻止敌人在<ac>割裂</ac>下传送，所以最好配合可以打断的队友。
npc_dota_hero_bloodseeker,Bloodseeker,<hc>嗜血狂魔</hc>可以利用<ac>割裂</ac>发起战斗的先手，阻止敌人逃走。
npc_dota_hero_bloodseeker,Bloodseeker,<hc>嗜血狂魔</hc>在对面时需要使自己的血量维持在健康状态，因为<ac>嗜血渴望</ac>会使他获得攻击力和移动速度加成。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>的<ac>奥术光环</ac>为地图上所有队友提供魔法恢复加成，使他们可以更频繁地施放技能。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>的<ac>冰封禁制</ac>非常克制机动性强的英雄，因为技能具有缠绕效果。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>依赖位移类物品来弥补她极低的移动速度和较低的血量。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>一般在队友急需魔法恢复时上场。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>的<ac>精准光环</ac>为所有远程队友提供额外攻击力，而开启后对远程小兵同样生效。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>唯一的保命技能就是具有沉默和击退效果的<ac>狂风</ac>。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>的远距离射程和高攻击力使她可以在相对安全的位置攻击防御塔。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>惧怕可以快速近身的英雄。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>的眩晕技能很多，可以连续施放使敌人动弹不得。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>的<ac>沟壑</ac>可以暂时创造障碍，封住敌人逃跑的路线，或者使己方可以从容撤退。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>的<ac>沟壑</ac>在远距离对排成直线的敌人造成眩晕和伤害非常有用。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>有了<ic>闪烁匕首</ic>后时机得当的<ac>回音击</ac>会使扎堆的敌人付出惨痛的代价。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>可以使用<ac>剑刃风暴</ac>造成伤害，同时自身不受技能影响。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>的上场价值在于他的<ac>治疗守卫</ac>，这可以帮助团队在推进时保持满血。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>的<ac>无敌斩</ac>最好用在落单或数量较少的英雄身上。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>可以使用<ac>剑刃风暴</ac>再使用<ic>回城卷轴</ic>，保证自己安全传送。
npc_dota_hero_mirana,Mirana,<hc>米拉娜</hc>的团战压制力很强，因为她具有高额爆发伤害，而且<ac>月之暗面</ac>技能可以使队友选择较为安全的时机发起战斗。
npc_dota_hero_mirana,Mirana,<ac>跳跃</ac>可以帮助<hc>米拉娜</hc>应对各种情况，不论是逃离险境还是爆发输出。
npc_dota_hero_mirana,Mirana,<hc>米拉娜</hc>的招牌技能<ac>月神之箭</ac>命中难度颇高，而神箭飞得越远，眩晕时间越长。
npc_dota_hero_mirana,Mirana,<hc>米拉娜</hc>的远距离技能<ac>月神之箭</ac>若能命中敌人，将造成长时间的眩晕。
npc_dota_hero_mirana,Mirana,<hc>米拉娜</hc>的技能和天赋使她有潜力往物理输出或魔法输出的路线发展，可以根据局势进行选择。
npc_dota_hero_nevermore,Shadow Fiend,<hc>影魔</hc>的毁灭阴影每次命中时会施加一个连中效果，下次命中敌人时他将受到额外伤害。
npc_dota_hero_nevermore,Shadow Fiend,<hc>影魔</hc>正反补都能收集灵魂，并且通过<ac>支配死灵</ac>获得额外攻击力，直至阵亡。
npc_dota_hero_nevermore,Shadow Fiend,<hc>影魔</hc>一般会购买<ic>黑皇杖</ic>来保证自己成功施放<ac>魂之挽歌</ac>。
npc_dota_hero_nevermore,Shadow Fiend,<hc>影魔</hc>的输出很高，但他惧怕控制技能，也怕被抓。
npc_dota_hero_morphling,Morphling,<hc>变体精灵</hc>的技能<ac>波浪形态</ac>非常强大，可以帮助他脱离危险或接近目标。
npc_dota_hero_morphling,Morphling,与大多数英雄不同，<hc>变体精灵</hc>的技能可以造成大量魔法伤害，同时他的普通攻击可以造成大量物理伤害。
npc_dota_hero_morphling,Morphling,<hc>变体精灵</hc>的击杀难度较高，但如果在他用出<ac>属性转换</ac>前将他沉默或眩晕可以将他轻松击杀。
npc_dota_hero_morphling,Morphling,<hc>变体精灵</hc>的大招<ac>变形</ac>使自己的形态改为目标英雄，获得他们的基础技能，他的打法也因此更加多变。
npc_dota_hero_phantom_lancer,Phantom Lancer,<hc>幻影长矛手</hc>的幻象与本体外观相同，与他作战将非常头疼。
npc_dota_hero_phantom_lancer,Phantom Lancer,与大多数幻象系英雄一样，<hc>幻影长矛手</hc>从提升主属性的物品中获得的收益最大，也就是敏捷属性。
npc_dota_hero_phantom_lancer,Phantom Lancer,<ic>净魂之刃</ic>能极大地提升<hc>幻影长矛手</hc>，因为除了本体外，幻象每次攻击也会燃烧敌人的魔法。
npc_dota_hero_phantom_lancer,Phantom Lancer,由于幻象承受的伤害远远高于英雄本体，所以范围型伤害可以帮助找到<hc>幻影长矛手</hc>的真身。
npc_dota_hero_puck,Puck,<hc>帕克</hc>在游戏中后期有了<ic>闪烁匕首</ic>和Eul的神圣法杖后击杀和追击的难度都非常大。
npc_dota_hero_puck,Puck,<hc>帕克</hc>的<ac>幻象法球</ac>和<ac>新月之痕</ac>可以瞬间对附近多个敌人造成伤害。
npc_dota_hero_puck,Puck,<hc>帕克</hc>可以使用<ac>梦境缠绕</ac>限制住敌人的走位，他们只能留在原地挨打，或者强行脱离并被眩晕。
npc_dota_hero_puck,Puck,<hc>帕克</hc>的机动性很强。他可以轻松快速地穿越复杂的地形，也能追击并赶上撤退的敌人。
npc_dota_hero_puck,Puck,游戏进入后期后，<hc>帕克</hc>的天赋使他可以快速输出，或者大幅提升金钱收入。
npc_dota_hero_pudge,Pudge,一旦被<hc>帕吉</hc>抓住就很难逃脱，因为他有<ac>腐烂</ac>和<ac>肢解</ac>。
npc_dota_hero_pudge,Pudge,<hc>帕吉</hc>的技能<ac>肉钩</ac>会将首个碰到的单位钩回<hc>帕吉</hc>出钩的位置。
npc_dota_hero_pudge,Pudge,<hc>帕吉</hc>的<ac>肉钩</ac>对敌人颇具威慑力。
npc_dota_hero_pudge,Pudge,<hc>帕吉</hc>可以将队友钩来，把他们从困境中救出。
npc_dota_hero_razor,Razor,<hc>剃刀</hc>在经济落后时很难赶上对手，所以前期多击杀他几次可以使他后续乏力。
npc_dota_hero_razor,Razor,移速类或位移类物品如<ic>原力法杖</ic>可以帮助逃脱<hc>剃刀</hc>的<ac>静电连接</ac>。
npc_dota_hero_razor,Razor,<hc>剃刀</hc>最著名的就是他的技能<ac>静电连接</ac>，可以偷去敌人的攻击力，使他在对线和团战时取得优势。
npc_dota_hero_razor,Razor,<ic>阿哈利姆神杖</ic>可以提升<hc>剃刀</hc>的大招，<ac>风暴之眼</ac>，对英雄和防御塔造成大量伤害。
npc_dota_hero_sand_king,Sand King,<hc>沙王</hc>的多个范围型技能使他可以快速清兵。
npc_dota_hero_sand_king,Sand King,<hc>沙王</hc>非常擅长在战场中穿梭。这使他压制敌人时无需担心阵亡。
npc_dota_hero_sand_king,Sand King,<hc>沙王</hc>的先手能力非常强大，因为他能立刻使用<ic>闪烁匕首</ic>和<ac>掘地穿刺</ac>来眩晕扎堆的英雄。
npc_dota_hero_sand_king,Sand King,<hc>沙王</hc>在对线期非常克制近战英雄，这多亏了他的技能<ac>腐尸毒</ac>。
npc_dota_hero_storm_spirit,Storm Spirit,<hc>风暴之灵</hc>非常依赖魔法，所以合理利用技能非常重要。
npc_dota_hero_storm_spirit,Storm Spirit,<hc>风暴之灵</hc>为了使<ac>超负荷</ac>伤害最大化，他在施放两次技能之间要夹杂普通攻击。
npc_dota_hero_storm_spirit,Storm Spirit,由于<hc>风暴之灵</hc>在缺乏控制技能的情况下很难击杀，所以在选人时后手选出非常厉害。
npc_dota_hero_storm_spirit,Storm Spirit,出于超高的机动性，<hc>风暴之灵</hc>可以在超远距离外对落单的敌人发起攻击。
npc_dota_hero_sven,Sven,由于<hc>斯温</hc>拥有<ac>巨力挥舞</ac>，他比大多数英雄购买狂战斧后的清兵速度都要快。
npc_dota_hero_sven,Sven,<hc>斯温</hc>非常克制物理输出英雄，因为他的<ac>战吼</ac>能使全队护甲大幅增加。
npc_dota_hero_sven,Sven,<hc>斯温</hc>尽管输出很高，但他不容易近身，粘住敌人。
npc_dota_hero_sven,Sven,<hc>斯温</hc>的<ac>神之力量</ac>可以使他原本颇高的攻击力大幅提升，这样他就能两三下击杀一个敌人。
npc_dota_hero_sven,Sven,<hc>斯温</hc>一般会购买<ic>闪烁匕首</ic>，这能确保战斗爆发时他能到达最合适的位置。
npc_dota_hero_tiny,Tiny,<hc>小小</hc>的技能组合可以使他秒杀附近的残血英雄。
npc_dota_hero_tiny,Tiny,<hc>小小</hc>使用<ac>抓树</ac>技能后拿起一棵树作为武器，攻击时攻击距离增加，对建筑的伤害也会增加。
npc_dota_hero_tiny,Tiny,<hc>小小</hc>可以使用<ac>投掷</ac>技能扔出拥有先手能力的队友，或者把敌人扔回己方的人堆中。
npc_dota_hero_tiny,Tiny,<hc>小小</hc>非常喜欢提供大量攻击速度加成的队友，因为他自身的攻速很慢。
npc_dota_hero_vengefulspirit,Vengeful Spirit,<hc>复仇之魂</hc>的<ac>恐怖波动</ac>可以提供远处或树林中的视野。
npc_dota_hero_vengefulspirit,Vengeful Spirit,<hc>复仇之魂</hc>的<ac>移形换位</ac>可以用来拿自己的命换价值更大的队友。
npc_dota_hero_vengefulspirit,Vengeful Spirit,<hc>复仇之魂</hc>的大招<ac>移形换位</ac>可以救出被敌人控制并集火的队友。
npc_dota_hero_vengefulspirit,Vengeful Spirit,<hc>复仇之魂</hc>拥有多个<ic>阿哈利姆神杖</ic>的加成效果，包括<ac>移形换位</ac>的冷却时间大幅降低，而且死亡后会产生幻象。
npc_dota_hero_windrunner,Windranger,<hc>风行者</hc>一般购买<ic>闪烁匕首</ic>找好<ac>束缚击</ac>的出手角度。
npc_dota_hero_windrunner,Windranger,<hc>风行者</hc>的<ac>风行</ac>技能可以帮助她逃脱或躲避物理攻击，但惧怕魔法伤害和眩晕类技能。
npc_dota_hero_windrunner,Windranger,<hc>风行者</hc>的<ac>强力击</ac>使她可以安全地清兵推线，或远距离终结敌人。
npc_dota_hero_windrunner,Windranger,<hc>风行者</hc>的<ac>集中火力</ac>技能可以帮助她击杀对手，或更快地摧毁防御塔。
npc_dota_hero_zuus,Zeus,<hc>宙斯</hc>可以瞬间造成大量魔法伤害，但他受到攻击时很难保护好自己。
npc_dota_hero_zuus,Zeus,<hc>宙斯</hc>可以使用<ac>雷击</ac>找出隐身英雄，或为敌人提供视野的假眼。
npc_dota_hero_zuus,Zeus,<hc>宙斯</hc>的全图大招<ac>雷神之怒</ac>可以帮助终结残血的敌方英雄，或者显示出英雄在地图中的位置。
npc_dota_hero_zuus,Zeus,<hc>宙斯</hc>的技能都是魔法伤害，因此魔法抗性和技能免疫可以有效进行克制。
npc_dota_hero_kunkka,Kunkka,<hc>昆卡</hc>的<ac>X标记</ac>和<ac>洪流</ac>非常适合与队友配合施放连招。
npc_dota_hero_kunkka,Kunkka,<hc>昆卡</hc>在团战中非常强大，因为他能造成大量范围性伤害，而且对手很难逃脱。
npc_dota_hero_kunkka,Kunkka,<hc>昆卡</hc>的大招<ac>幽灵船</ac>可以使附近队友延迟受到伤害，给他们时间放出关键技能。
npc_dota_hero_kunkka,Kunkka,<hc>昆卡</hc>的技能都是延迟生效，所以放准技能连招需要通过练习掌握时机。
npc_dota_hero_kunkka,Kunkka,比赛后期时<hc>昆卡</hc>的技能<ac>潮汐使者</ac>在合理的出装下可以造成大量分裂伤害。
npc_dota_hero_lina,Lina,<hc>莉娜</hc>的范围型技能冷却时间很短，可以用于快速清兵。
npc_dota_hero_lina,Lina,<hc>莉娜</hc>的被动技能<ac>炽魂</ac>在她不断施放技能时可以造成惊人的物理伤害。
npc_dota_hero_lina,Lina,<hc>莉娜</hc>的眩晕技能<ac>光击阵</ac>生效需一定延迟，所以购买Eul的神圣法杖可以提高技能的命中。
npc_dota_hero_lina,Lina,<hc>莉娜</hc>集多个魔法伤害类技能于一身，可以快速击杀敌方英雄。
npc_dota_hero_lich,Lich,<hc>巫妖</hc>最厉害的就是<ac>连环霜冻</ac>技能，可以在附近敌人之间弹跳，每次弹跳都将造成大量伤害。
npc_dota_hero_lich,Lich,<hc>巫妖</hc>在对线期非常厉害，因为他的技能可以<ac>献祭</ac>友方小兵，使敌人无法得到经验和金钱。
npc_dota_hero_lich,Lich,<hc>巫妖</hc>没有任何控制技能，只有减速技能，所以他很难抓住比较飘逸或移速较快的英雄。
npc_dota_hero_lich,Lich,<hc>巫妖</hc>的<ac>霜冻护甲</ac>可以对建筑使用，任何攻击建筑的敌人都会被减速。
npc_dota_hero_lion,Lion,<hc>莱恩</hc>拥有多个控制技能，可以配合队友在敌人做出反击前将其击杀。
npc_dota_hero_lion,Lion,<hc>莱恩</hc>的<ic>闪烁匕首</ic>出得很早可以使他出其不意地对敌人发起先手。
npc_dota_hero_lion,Lion,<hc>莱恩</hc>非常克制极度依赖技能的英雄。
npc_dota_hero_lion,Lion,<hc>莱恩</hc>在大招<ac>死亡之指</ac>不处于冷却时魔法爆发相当高。
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>暗影萨满</hc>的<ac>枷锁</ac>技能拥有相当长的控制时间，但由于是持续施法，期间他非常脆弱。
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>暗影萨满</hc>的推进能力非常游戏，因为他能快速清兵，再在防御塔附近放下<ac>群蛇守卫</ac>。
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>暗影萨满</hc>一般购买<ic>闪烁匕首</ic>，这样他就能快速拉近和目标的距离，再使用他距离较近的控制技能。
npc_dota_hero_shadow_shaman,Shadow Shaman,<hc>暗影萨满</hc>的基础攻击力很高，使他能在对线期轻松压制对手。
npc_dota_hero_slardar,Slardar,<hc>斯拉达</hc>在团队攻击Roshan时可以使用<ac>侵蚀雾霭</ac>大幅削弱Roshan的护甲，加快击杀的速度。
npc_dota_hero_slardar,Slardar,<hc>斯拉达</hc>的<ac>守卫冲刺</ac>达到满级后在河道中的移动速度非常夸张。
npc_dota_hero_slardar,Slardar,<hc>斯拉达</hc>的大招<ac>侵蚀雾霭</ac>可以大幅降低目标护甲，加深他们受到的物理伤害。
npc_dota_hero_slardar,Slardar,<hc>斯拉达</hc>可以使用<ic>闪烁匕首</ic>和<ac>鱼人碎击</ac>在战斗中控制多名敌人。
npc_dota_hero_tidehunter,Tidehunter,<hc>潮汐猎人</hc>在对线期非常难击杀，因此他很适合危险的劣势路。
npc_dota_hero_tidehunter,Tidehunter,<hc>潮汐猎人</hc>非常克制物理输出英雄，因为<ac>锚击</ac>可以降低英雄的攻击力。
npc_dota_hero_tidehunter,Tidehunter,<hc>潮汐猎人</hc>很少被长时间控制，这多亏了<ac>海妖外壳</ac>。
npc_dota_hero_tidehunter,Tidehunter,<hc>潮汐猎人</hc>手捏大招<ac>毁灭</ac>不放时的威胁有时比毁灭这个技能本身还大。
npc_dota_hero_witch_doctor,Witch Doctor,<hc>巫医</hc>在推进和团战时擅长治疗队友，因为<ac>巫毒疗法</ac>可以治疗附近所有人。
npc_dota_hero_witch_doctor,Witch Doctor,<hc>巫医</hc>可以通过<ac>死亡守卫</ac>对敌人造成巨额伤害，但技能很容易被控制技能打断。
npc_dota_hero_witch_doctor,Witch Doctor,<hc>巫医</hc>比较克制肉盾型英雄，因为<ac>巫蛊咒术</ac>可以增加全队的伤害。
npc_dota_hero_witch_doctor,Witch Doctor,<hc>巫医</hc>非常克制扎堆的敌人，因为<ac>麻痹药剂</ac>可以来回弹跳，多次眩晕敌人。
npc_dota_hero_riki,Riki,<hc>力丸</hc>是少数几个游戏开始时就能隐身的英雄，使他的动向难以预知。
npc_dota_hero_riki,Riki,<hc>力丸</hc>由于<ac>烟幕</ac>的缘故非常克制惧怕沉默技能的英雄。
npc_dota_hero_riki,Riki,<hc>力丸</hc>从比赛一开始就处于隐身状态，但好好利用真眼或<ic>显影之尘</ic>可以使他显形。
npc_dota_hero_riki,Riki,<hc>力丸</hc>从提升敏捷的物品中获益最大，因为能提升他的主要伤害来源，<ac>刀光谍影</ac>。
npc_dota_hero_enigma,Enigma,<hc>谜团</hc>的黑洞是游戏中最强大的大招之一，因为技能可以控制整个敌方队伍达到数秒。
npc_dota_hero_enigma,Enigma,克制<hc>谜团</hc>的英雄一般都有方法远距离打断他的大招。
npc_dota_hero_enigma,Enigma,由于大招非常重要，所以<hc>谜团</hc>一般购买<ic>闪烁匕首</ic>来发起先手，而<ic>黑皇杖</ic>能保证施放时不被打断。
npc_dota_hero_enigma,Enigma,<hc>谜团</hc>利用<ac>恶魔转化</ac>可以非常轻松地推塔和清兵。
npc_dota_hero_tinker,Tinker,<hc>修补匠</hc>可以使用<ac>再装填</ac>移除技能和物品的冷却时间，从而实现快速传送，对小兵和英雄在短时间内造成大量伤害。
npc_dota_hero_tinker,Tinker,<hc>修补匠</hc>最重要的道具是<ic>远行鞋</ic>，因为有了<ac>再装填</ac>他可以根据需要随时传送至地图任意地点。
npc_dota_hero_tinker,Tinker,<hc>修补匠</hc>非常克制物理输出类英雄，因为他的<ac>激光</ac>可以致盲，使他们攻击落空。
npc_dota_hero_tinker,Tinker,<hc>修补匠</hc>到了游戏后期是非常可怕的对手，因为他可以利用<ac>再装填</ac>刷新他强力的物品去击杀较弱的英雄。
npc_dota_hero_tinker,Tinker,<hc>修补匠</hc>在防守高地时可以多次使用<ac>进击的机械</ac>来伤害推塔的英雄，使高地非常难上。
npc_dota_hero_sniper,Sniper,<hc>狙击手</hc>可以利用他的超远射程在安全的位置射击敌人。
npc_dota_hero_sniper,Sniper,<hc>狙击手</hc>的<ac>暗杀</ac>可以打断持续施法，即使敌人处于技能免疫状态。
npc_dota_hero_sniper,Sniper,<hc>狙击手</hc>在那些可以快速越过前排接近他的英雄面前非常脆弱。
npc_dota_hero_sniper,Sniper,<ic>影刃</ic>或<ic>飓风长戟</ic>对<hc>狙击手</hc>的帮助很大，可以使他逃离险境。
npc_dota_hero_necrolyte,Necrophos,<hc>瘟疫法师</hc>使用<ac>死神镰刀</ac>来保证对残血敌人的击杀。
npc_dota_hero_necrolyte,Necrophos,<hc>瘟疫法师</hc>可以治疗附近队友，同时伤害敌人，有助于扭转战局。
npc_dota_hero_necrolyte,Necrophos,<hc>瘟疫法师</hc>可以使用<ac>幽魂护罩</ac>技能阻挡任何物理伤害，同时自身的治疗效果得到提升。
npc_dota_hero_necrolyte,Necrophos,<hc>瘟疫法师</hc>通过<ac>竭心光环</ac>可以在长时间的拉锯战中对周围的敌方英雄持续造成大量伤害。
npc_dota_hero_warlock,Warlock,<hc>术士</hc>的大招<ac>混乱之祭</ac>是战斗中干扰敌人的绝佳技能。
npc_dota_hero_warlock,Warlock,<hc>术士</hc>的大招可以眩晕技能免疫状态下的敌人，所以可以用来打断传送，或重要的团战大招。
npc_dota_hero_warlock,Warlock,<hc>术士</hc>在前期非常强大，因为他的<ac>暗言术</ac>技能可以对敌人造成大量伤害，也能治疗队友。
npc_dota_hero_warlock,Warlock,<hc>术士</hc>的技能在团战中非常强大，但他很难在敌人近身时保护好自己。
npc_dota_hero_beastmaster,Beastmaster,<hc>兽王</hc>在清兵和推塔方面效率很高，因为<ac>野性之心</ac>光环可以对周围的队友生效。
npc_dota_hero_beastmaster,Beastmaster,<hc>兽王</hc>的大招<ac>原始咆哮</ac>非常适合用来击杀敌人，因为可以眩晕敌人，即使他们处于技能免疫状态。
npc_dota_hero_beastmaster,Beastmaster,<hc>兽王</hc>一般会购买<ic>死灵书</ic>，召唤出死灵单位帮他击杀敌人或推塔。
npc_dota_hero_beastmaster,Beastmaster,<hc>兽王</hc>召唤的动物伙伴可以帮助他获得视野或减速敌人。
npc_dota_hero_queenofpain,Queen of Pain,<hc>痛苦女王</hc>可以造成大量范围型伤害。
npc_dota_hero_queenofpain,Queen of Pain,<hc>痛苦女王</hc>由于超短冷却的<ac>闪烁</ac>技能，机动性相当高，非常难被抓住。
npc_dota_hero_queenofpain,Queen of Pain,<hc>痛苦女王</hc>上场的原因是她在对线期较为强势，而且可以碾压脆弱的敌人，也容易获得击杀。
npc_dota_hero_queenofpain,Queen of Pain,尽管<hc>痛苦女王</hc>的输出很足，但她缺少控制技能，需要利用物品来弥补。
npc_dota_hero_venomancer,Venomancer,<hc>剧毒术士</hc>的技能都是造成持续性伤害，而不是瞬时伤害。
npc_dota_hero_venomancer,Venomancer,<hc>剧毒术士</hc>利用他的<ac>瘟疫守卫</ac>可以较为安全的推线和守塔。
npc_dota_hero_venomancer,Venomancer,<hc>剧毒术士</hc>的控制类不足，但他的减速和击杀能力并不弱。
npc_dota_hero_venomancer,Venomancer,<hc>剧毒术士</hc>的瘟疫守卫对小兵的伤害远高于对英雄和防御塔。
npc_dota_hero_faceless_void,Faceless Void,<hc>虚空假面</hc>的大招<ac>时间结界</ac>可以把所有单位定在一个大泡罩中，包括队友。
npc_dota_hero_faceless_void,Faceless Void,<hc>虚空假面</hc>可以使用<ac>时间漫游</ac>使自己的血量回到短时间之前。
npc_dota_hero_faceless_void,Faceless Void,<hc>虚空假面</hc>最受重视的是他的团战能力。他会等待完美的时机跳入敌阵发起先手。
npc_dota_hero_faceless_void,Faceless Void,<hc>虚空假面</hc>需要解除沉默和眩晕的物品，这样他就能放出他强大的技能。
npc_dota_hero_skeleton_king,Wraith King,<hc>冥魂大帝</hc>的大招<ac>重生</ac>在他魔法充足时可以复活一次。
npc_dota_hero_skeleton_king,Wraith King,<hc>冥魂大帝</hc>的普通攻击可以造成大量伤害，但他很难粘住敌人。
npc_dota_hero_skeleton_king,Wraith King,<hc>冥魂大帝</hc>的眩晕技能<ac>冥火爆击</ac>可以对敌人造成眩晕和减速，确保能击杀敌人。
npc_dota_hero_skeleton_king,Wraith King,<hc>冥魂大帝</hc>一般会购买<ic>莫尔迪基安的臂章</ic>，以持续掉血为代价提升自己的输出。
